Date,User,IsVerified,Tweet,Likes,RT,User_Location,clean_tweet,Sentiment
2021-08-19 10:30:44,Abhi,False,@SkySportsNews His new challenge should be to help Arsenal finish in the top 4.,0,0,,his new challenge should be to help arsenal finish in the top 4,Positive
2021-08-19 10:30:43,ً,False,Arsenal will be relegated this season.,0,0,,arsenal will be relegated this season,Neutral
2021-08-19 10:30:42,Motivator,False,"@FabrizioRomano @Arsenal sell Torreira and Elneny, Kolasinac, Bellerin, AMN please and get us Aouar and Striker and RB then we can relax 😒",0,0,SOMEWHERE IN HEAVEN ,sell torreira and elneny kolasinac bellerin amn please and get us aouar and striker and rb then we can relax,Neutral
2021-08-19 10:30:42,Anthony James,False,"Have I missed something with Arsenal? Johnstone for 10 or ramsdale for 30, when they need money spent elsewhere anyway... Madness",0,0,,have i missed something with arsenal johnstone for 10 or ramsdale for 30 when they need money spent elsewhere anyway madness,Negative
2021-08-19 10:30:42,⚽🖤💛🔴⚪⚫,False,"Let us be honest with all the signings Arsenal have made and their current players' form, none of them can start at… https://t.co/LEkMzMgDiQ",0,0,Nanda Parbat,let us be honest with all the signings arsenal have made and their current players form none of them can start at,Positive
2021-08-19 10:30:39,#KiIIFerniNino,False,Kroenkes arent even that bad. They havent taken money out of arsenal they reinvest their money and generally splash… https://t.co/uBgfwtdgjv,0,0,.,kroenkes arent even that bad they havent taken money out of arsenal they reinvest their money and generally splash,Negative
2021-08-19 10:30:39,David Hudson,False,"@31GeorgePanayi To many Arsenal fans thinking this if Football manager, clueless to how a proper football team is run!!",0,0,Bristol,to many arsenal fans thinking this if football manager clueless to how a proper football team is run,Positive
2021-08-19 10:30:38,SITSO,False,"Here it is!!! #SitsoGiveAway

Our featured game to predict for the jersey giveaway this weekend is @Arsenal vs… https://t.co/BxZYgpkwhx",0,0,EARTH ,here it is sitsogiveaway our featured game to predict for the jersey giveaway this weekend is vs,Negative
2021-08-19 10:30:34,FITH,False,"Tottenham lining up approach for Lyon's Houssem Aouar.

Tottenham are reportedly keen to Aouar, 23, after Arsenal c… https://t.co/Ra9mZKVcBq",0,0,,tottenham lining up approach for lyon s houssem aouar tottenham are reportedly keen to aouar 23 after arsenal c,Neutral
2021-08-19 10:30:32,RED TEMPTATION,False,"My Prediction for PL 2021/2022 🧐
Man City will retain the title with a new Striker, Chelsea second by a few points.… https://t.co/q7lHLpqaUO",0,0,The Islanders on Dominica,my prediction for pl 2021 2022 man city will retain the title with a new striker chelsea second by a few points,Negative
2021-08-19 10:30:32,The Duke of Rift Valley,False,@footballdaily Where does this Arsenal club get money from coz they ain't winning shit and aren't selling players 😂😂😂,0,0,,where does this arsenal club get money from coz they ain t winning shit and aren t selling players,Positive
2021-08-19 10:30:31,Victoria Concordia Tierney🔥,False,They are really arsenal fans. https://t.co/g3ftmPzTxy,0,0,,they are really arsenal fans,Positive
2021-08-19 10:30:29,Ubong Pius Willie,False,@IGoparaocha @UncleAJ_ @JayLech8 @WildChefHuman @lamide_black @Arsenal @ChelseaFC @debbie_chelsea Well it depends w… https://t.co/uaIdrKceA8,0,0,Nigeria,black chelsea well it depends w,Neutral
2021-08-19 10:30:27,AUGUSTINE NKURUNZIZA,False,@JakeClegg28 I have believed always that arsenal players are capable of competing for best positions in league. it'… https://t.co/yBvqJ7Xeug,0,0,Kampala,i have believed always that arsenal players are capable of competing for best positions in league it,Positive
2021-08-19 10:30:27,Jamie Holme,False,"Really enjoyed last night’s @LFCDaytrippers Midweek Fix with @LFCDT_Gav @philegansport &amp; Keith. 

We finished on wi… https://t.co/AEiFqIehM3",0,0,"Bray, Ireland ",really enjoyed last night s midweek fix with gav amp keith we finished on wi,Positive
2021-08-19 10:30:24,Ali,False,@martialmagique @jo4kimMUFC @Jaswin23 Arsenal have lacazette Pepe smith rowe partey look at the difference in quality,0,0,,arsenal have lacazette pepe smith rowe partey look at the difference in quality,Neutral
2021-08-19 10:30:20,𝕶𝖚𝖗𝖙,False,"Arsenal fans, take a step back. Reassess your expectations for the season. It's okay to want the best for the club… https://t.co/6yWdHfyceu",0,0,,arsenal fans take a step back reassess your expectations for the season it s okay to want the best for the club,Positive
2021-08-19 10:30:20,FootballCoin,False,Will #FootballCoin #FantasyFootball managers get the opportunity to use this card #Ramsdale again this year?… https://t.co/cuemgNcFiI,0,0,,will footballcoin fantasyfootball managers get the opportunity to use this card ramsdale again this year,Neutral
2021-08-19 10:30:19,chima Jr👀👊,False,@SanchUnited To be honest bro I see no player in Arsenal team to start for united. People mentioning Thomas who wou… https://t.co/3zfmj4pVxr,0,0,"Africa ,Accra, Ghana",to be honest bro i see no player in arsenal team to start for united people mentioning thomas who wou,Positive
2021-08-19 10:30:18,victor isiavale,False,@ke_turkish @lawrenc29784907 @CFC_Muk Not everyone was made to shine at arsenal,0,0,"Nairobi, Kenya",turkish muk not everyone was made to shine at arsenal,Neutral
2021-08-19 10:30:18,Bev,False,@KippaxRyan180 @ManCity I'm going to the Arsenal game on 28th... Will send you a paper pint pot review! 🤣,1,0,"Stockport, England",i m going to the arsenal game on 28th will send you a paper pint pot review,Negative
2021-08-19 10:30:18,🅐🅛🅛🅐🅝Ssekidde Da Brave 🇺🇬,False,@AFC_Mgg @Arsenal U won't,0,0,Uganda,mgg u won t,Neutral
2021-08-19 10:30:15,Max,False,"Chelsea Transfer fees spent under Frank Lampard - £220m 

Arsenal Transfer fees spent under Arteta - £225m 

One wa… https://t.co/tRzcjGWDnv",0,0,United Kingdom,chelsea transfer fees spent under frank lampard 220m arsenal transfer fees spent under arteta 225m one wa,Negative
2021-08-19 10:30:12,DStv Malawi,False,"Kodi Arsenal iwonanso mbwadza?
Buy your DStv decoder, pay subscriptions, upgrade your DStv package at any Sankha We… https://t.co/VgYobnqlMT",0,0,Malawi,kodi arsenal iwonanso mbwadza buy your dstv decoder pay subscriptions upgrade your dstv package at any sankha we,Neutral
2021-08-19 10:30:11,🅰️nsu,False,almost arsenal matchday https://t.co/GgDVXPSBkp,1,0,Camp nou,almost arsenal matchday,Neutral
2021-08-19 10:30:10,⭐️Nardo🦋,False,Guy freeze.. oh lawd arsenal😭💔💔 https://t.co/hcbmAqERRz,0,0,Around the globe,guy freeze oh lawd arsenal,Neutral
2021-08-19 10:30:10,Spraggs,False,Couldn't agree more... no ture @arsenal fan does it disgraceful 😤 https://t.co/ZUzqgCNyO4,0,0,,couldn t agree more no ture fan does it disgraceful,Positive
2021-08-19 10:30:10,Dennylove🇰🇳🇰🇳,False,@ronaldlirumo @CFCHakim_ @DeadlineDayLive @David_Ornstein No Arsenal are no longer a top team and other top don’t n… https://t.co/59DhqPMxZU,0,0,,ornstein no arsenal are no longer a top team and other top don t n,Positive
